thesis_id,surface_age,northing,easting, zone, longitude, latitude,topo_feature,confidence,min_prof_faultdist,max_prof_faultdist,margin_only,XY_mean,XY_stdev,Z_mean,Z_stdev,T_mean,T_stdev,vert:lateral
B027,Qf6a,3985179,474060,11,-117.28786,36.01075,bar,3,1,5,y,0.73,0.16,0.15,0.01,0.75,0.137054734,0.21
B028,Qf6a,3985173,474062,11,-117.28783,36.01069,bar,2,1,5,n,0.67,0.13,0.17,0.02,0.7,0.111153507,0.25
B029,Qf6a,3985123,473983,11,-117.28871,36.01024,bar,2,1,3,n,1.4,0.09,0.1,0.04,1.41,0.083666003,0.07
B030,Qf6a,3985114,473985,11,-117.28868,36.01016,bar,2,1,5,y,0.68,0.16,0.14,0.03,0.69,0.146615142,0.21
B031,Qf6b,3985068,473891,11,-117.28972,36.00974,bar,1.5,1,5,n,1.08,0.23,0.04,0.01,1.08,0.207846097,0.04
B032,Qf6a,3988326,475738,11,-117.26932,36.03917,bar,2,1,5,n,0.86,0.16,0.14,0.03,0.87,0.146615142,0.16
B033,Qf6a,3985073,473915,11,-117.28945,36.00979,bar,3,1,5,n,0.9,0.19,0.12,0.03,0.91,0.163389106,0.13
B034,Qf6a,3985187,474019,11,-117.28831,36.01082,bar,2.5,1,5,n,1.04,0.35,0.19,0.08,1.06,0.299559677,0.19
B035,Qf6a,3988084,475713,11,-117.2696,36.03698,bar,2.5,1,5,n,1.12,0.12,0.17,0.04,1.13,0.107628992,0.15
B036,Qf6a,3988064,475591,11,-117.27095,36.0368,bar,2,1,5,n,0.94,0.23,0.22,0.06,0.96,0.197524682,0.23
B037,Qf6a,3986693,475638,11,-117.27039,36.02444,bar,3,1,5,y,0.37,0.02,0.15,0.03,0.4,0.024819347,0.41
B038,Qf6a,3985181,474017,11,-117.28833,36.01076,bar,2,2,5,n,0.9,0.16,0.19,0.08,0.93,0.149256662,0.22
B039,Qf6a,3985100,473888,11,-117.28976,36.01003,bar,2,1,5,n,0.7,0.03,0.23,0.02,0.74,0.028674418,0.33
B040,Qf6a,3985170,474046,11,-117.288,36.01066,bar,2,2,4,n,0.91,0.07,0.07,0.02,0.92,0.064683847,0.08
B041,Qf6a,3988326,475713,11,-117.26961,36.03917,bar,2,5,10,n,1.24,0.25,0.16,0.1,1.25,0.224142812,0.13
B042,Qf6a,3985088,473911,11,-117.28951,36.00992,bar,3,1,5,n,0.79,0.22,0.19,0.03,0.82,0.1910602,0.24
B043,Qf6a,3985127,474037,11,-117.2881,36.01028,bar,2,1,5,n,0.39,0.02,0.48,0.14,0.63,0.092217135,1.24
B044,Qf6a,3984985,473895,11,-117.28968,36.009,bar,2,1,5,n,0.57,0.18,0.2,0.08,0.61,0.158788819,0.35
B045,Qf6a,3985194,474067,11,-117.28778,36.01088,bar,2,5,10,n,1.38,0.11,0.41,0.12,1.45,0.103614671,0.29
B046,Qf6a,3985128,474023,11,-117.28826,36.01029,bar,1.5,1,5,n,0.54,0.11,0.04,0.02,0.55,0.098107084,0.08
B047,Qf6a,3985074,473986,11,-117.28867,36.0098,bar,3,1,5,n,1.18,0.23,0.07,0.02,1.18,0.202938414,0.06
B048,Qf6a,3985193,473997,11,-117.28855,36.01087,bar,1,1,3,n,0.28,0.08,0.01,0.01,0.28,0.073861733,0.04
B049,Qf6a,3985172,474037,11,-117.28811,36.01069,drainage,3,1,10,n,0.81,0.19,0.31,0.1,0.87,0.133656276,0.38
B050,Qf6a,3985468,474858,11,-117.279,36.01337,bar,3,1,5,y,0.98,0.2,0.39,0.02,1.06,0.162898742,0.4
B051,Qf6a,3988079,475734,11,-117.26936,36.03694,bar,2,5,10,n,0.88,0.31,0.28,0.19,0.96,0.230182536,0.32
B052,Qf6a,3985641,474916,11,-117.27837,36.01494,bar,3,1,5,n,0.41,0.09,0.15,0.07,0.44,0.088,0.38
B053,Qf6a,3985190,474013,11,-117.28838,36.01085,drainage,2.5,5,10,n,1.19,0.32,0.18,0.04,1.21,0.279828519,0.15
B054,Qf6a,3985487,474890,11,-117.27865,36.01355,bar,3,1,3,y,0.48,0.06,0.16,0.01,0.51,0.056213877,0.33
B055,Qf6a,3985469,474883,11,-117.27873,36.01339,bar and swale,2,5,10,y,0.91,0.19,0.63,0.07,1.11,0.158710078,0.69
B056,Qf6a,3985482,474926,11,-117.27825,36.01351,bar,2,5,10,y,0.45,0.12,0.53,0.09,0.71,0.0678233,1.18
B057,Qf8,3986477,475594,11,-117.27087,36.02249,bar,2,1,5,n,0.71,0.19,0.01,0.01,0.71,0.171067238,0.01
B058,Qf6b,3985475,474963,11,-117.27785,36.01344,bar,2,1,5,n,0.75,0.13,0.06,0.04,0.76,0.113243101,0.08
B059,Qf6a,3986647,475885,11,-117.26765,36.02403,bar,1.5,1,5,n,0.97,0.11,0.05,0.03,0.97,0.095624265,0.05
