thesis_id,surface_age,northing,easting, zone, longitude, latitude,topo_feature,confidence,min_prof_faultdist,max_prof_faultdist,margin_only,XY_mean,XY_stdev,Z_mean,Z_stdev,T_mean,T_stdev,vert:lateral
B190,Qf6b,3985239,474042,11,-117.28805,36.01129,drainage,3,7,10,n,2.27,0.21,0.09,0.07,2.27,0.190829767,0.04
B191,Qf6b,3985214,474071,11,-117.28773,36.01106,swale,3,1,5,,1.17,0.21,0.06,0.03,1.17,0.183586492,0.05
B192,Qf6b,3986687,475636,11,-117.270411,36.024386,bar and swale,2,1,5,n,1.47,0.23,0.02,0.01,1.47,0.205621011,0.01
B193,Qf6a,3985224,474068,11,-117.28776,36.01115,bar and drainage,2.5,2,5,n,1.48,0.22,0.12,0.03,1.49,0.195550505,0.08
B194,Qf6a,3985337,474136,11,-117.28701,36.01218,bar and swale,1.5,1,5,n,0.57,0.1,0.09,0.01,0.58,0.085556999,0.16
B195,Qf6a,3986636,475801,11,-117.26857,36.02393,bar and swale,1.5,1,5,n,1.33,0.16,0.1,0.04,1.33,0.150886271,0.07
B196,Qf6b,3986805,475832,11,-117.26824,36.02546,bar and swale,1.5,1,5,n,2.07,0.26,0.05,0.02,2.07,0.235118174,0.03
B197,Qf6a,3986936,475857,11,-117.26796,36.02664,bar and swale,1.5,1,3,y,0.99,0.12,0.05,0.02,0.99,0.113770603,0.05
B198,Qf7,3986560,475623,11,-117.27055,36.02324,bar crest,2.5,1,3,y,0.62,0.08,0.06,0.02,0.62,0.076,0.1
B199,Qf7,3986608,475631,11,-117.27046,36.02367,bar,3,1,3,y,0.58,0.14,0.08,0.01,0.58,0.127812362,0.13
B200,Qf6b,3986646,475634,11,-117.27043,36.02401,bar and drainage,1.5,1,5,n,1.45,0.15,0.02,0.01,1.45,0.135205605,0.02
B201,Qf6b,3986640,475633,11,-117.27044,36.02396,bar,2,1,5,n,1.51,0.14,0.07,0.03,1.51,0.130751673,0.04
B202,Qf7,3986495,475596,11,-117.27085,36.02265,swale,2.5,1,5,n,0.79,0.09,0,0,0.79,0.081584312,0
B203,Qf7,3986505,475634,11,-117.27042,36.02274,bar,2.5,1,3,y,0.7,0.1,0.02,0.01,0.7,0.086717934,0.03
B204,Qf7,3986509,475635,11,-117.27042,36.02278,bar,3,1,5,y,0.72,0.13,0.05,0.03,0.73,0.109836242,0.07
B205,Qf6a,3986582,475626,11,-117.27052,36.02343,bar,1.5,1,5,n,0.81,0.13,0.01,0.01,0.81,0.120598507,0.01
